year,period,periodName,latest,value,footnotes,seriesID
2013,A01,Annual,,3206,,CXUFOODAWAYLB0405M
2012,A01,Annual,,3210,,CXUFOODAWAYLB0405M
2011,A01,Annual,,3003,,CXUFOODAWAYLB0405M
2010,A01,Annual,,2861,,CXUFOODAWAYLB0405M
2009,A01,Annual,,3102,,CXUFOODAWAYLB0405M
2008,A01,Annual,,3244,,CXUFOODAWAYLB0405M
2007,A01,Annual,,3178,,CXUFOODAWAYLB0405M
2006,A01,Annual,,3292,,CXUFOODAWAYLB0405M
2018,A01,Annual,true,2325,,CXUAPPARELLB0405M
2017,A01,Annual,,2308,,CXUAPPARELLB0405M
2016,A01,Annual,,2332,,CXUAPPARELLB0405M
2015,A01,Annual,,2605,,CXUAPPARELLB0405M
2014,A01,Annual,,2247,,CXUAPPARELLB0405M
2013,A01,Annual,,1826,,CXUAPPARELLB0405M
2012,A01,Annual,,2041,,CXUAPPARELLB0405M
2011,A01,Annual,,1978,,CXUAPPARELLB0405M
2010,A01,Annual,,1966,,CXUAPPARELLB0405M
2009,A01,Annual,,1885,,CXUAPPARELLB0405M
2008,A01,Annual,,2228,,CXUAPPARELLB0405M
2007,A01,Annual,,2191,,CXUAPPARELLB0405M
2006,A01,Annual,,2176,,CXUAPPARELLB0405M
2018,A01,Annual,true,3952,,CXUENTRTAINLB0405M
2017,A01,Annual,,4064,,CXUENTRTAINLB0405M
2016,A01,Annual,,3654,,CXUENTRTAINLB0405M
2015,A01,Annual,,3317,,CXUENTRTAINLB0405M
2014,A01,Annual,,3184,,CXUENTRTAINLB0405M
2013,A01,Annual,,3070,,CXUENTRTAINLB0405M
2012,A01,Annual,,3051,,CXUENTRTAINLB0405M
2011,A01,Annual,,3169,,CXUENTRTAINLB0405M
2010,A01,Annual,,3088,,CXUENTRTAINLB0405M
2009,A01,Annual,,3176,,CXUENTRTAINLB0405M
2008,A01,Annual,,3297,,CXUENTRTAINLB0405M
2007,A01,Annual,,3163,,CXUENTRTAINLB0405M
2006,A01,Annual,,2770,,CXUENTRTAINLB0405M
2018,A01,Annual,true,2221,,CXUCASHCONTLB0405M
2017,A01,Annual,,2218,,CXUCASHCONTLB0405M
2016,A01,Annual,,2369,,CXUCASHCONTLB0405M
2015,A01,Annual,,2395,,CXUCASHCONTLB0405M
2014,A01,Annual,,2074,,CXUCASHCONTLB0405M
2013,A01,Annual,,2007,,CXUCASHCONTLB0405M
2012,A01,Annual,,2430,,CXUCASHCONTLB0405M
2011,A01,Annual,,1722,,CXUCASHCONTLB0405M
2010,A01,Annual,,1747,,CXUCASHCONTLB0405M
2009,A01,Annual,,2056,,CXUCASHCONTLB0405M
2008,A01,Annual,,2152,,CXUCASHCONTLB0405M
2007,A01,Annual,,1972,,CXUCASHCONTLB0405M
2006,A01,Annual,,2118,,CXUCASHCONTLB0405M
2018,A01,Annual,true,656,,CXUALCBEVGLB0405M
2017,A01,Annual,,633,,CXUALCBEVGLB0405M
2016,A01,Annual,,563,,CXUALCBEVGLB0405M
2015,A01,Annual,,547,,CXUALCBEVGLB0405M
2014,A01,Annual,,559,,CXUALCBEVGLB0405M
2013,A01,Annual,,545,,CXUALCBEVGLB0405M
2012,A01,Annual,,454,,CXUALCBEVGLB0405M
2011,A01,Annual,,494,,CXUALCBEVGLB0405M
2010,A01,Annual,,414,,CXUALCBEVGLB0405M
2009,A01,Annual,,502,,CXUALCBEVGLB0405M
2008,A01,Annual,,505,,CXUALCBEVGLB0405M
2007,A01,Annual,,498,,CXUALCBEVGLB0405M
2006,A01,Annual,,612,,CXUALCBEVGLB0405M
2018,A01,Annual,true,2808,,CXUEDUCATNLB0405M
2017,A01,Annual,,3213,,CXUEDUCATNLB0405M
2016,A01,Annual,,2456,,CXUEDUCATNLB0405M
2015,A01,Annual,,2659,,CXUEDUCATNLB0405M
2014,A01,Annual,,2283,,CXUEDUCATNLB0405M
2013,A01,Annual,,1970,,CXUEDUCATNLB0405M
2012,A01,Annual,,2426,,CXUEDUCATNLB0405M
2011,A01,Annual,,1879,,CXUEDUCATNLB0405M
2010,A01,Annual,,2094,,CXUEDUCATNLB0405M
2009,A01,Annual,,2055,,CXUEDUCATNLB0405M
2008,A01,Annual,,2012,,CXUEDUCATNLB0405M
2007,A01,Annual,,1687,,CXUEDUCATNLB0405M
2006,A01,Annual,,1736,,CXUEDUCATNLB0405M
2018,A01,Annual,true,951,,CXUPERSCARELB0405M
2017,A01,Annual,,927,,CXUPERSCARELB0405M
2016,A01,Annual,,873,,CXUPERSCARELB0405M
2015,A01,Annual,,821,,CXUPERSCARELB0405M
2014,A01,Annual,,793,,CXUPERSCARELB0405M
2013,A01,Annual,,723,,CXUPERSCARELB0405M
2012,A01,Annual,,707,,CXUPERSCARELB0405M
2011,A01,Annual,,709,,CXUPERSCARELB0405M
2010,A01,Annual,,673,,CXUPERSCARELB0405M
2009,A01,Annual,,666,,CXUPERSCARELB0405M
2008,A01,Annual,,736,,CXUPERSCARELB0405M
2007,A01,Annual,,686,,CXUPERSCARELB0405M
2006,A01,Annual,,696,,CXUPERSCARELB0405M
2018,A01,Annual,true,437,,CXUTOBACCOLB0405M
2017,A01,Annual,,410,,CXUTOBACCOLB0405M
2016,A01,Annual,,441,,CXUTOBACCOLB0405M
2015,A01,Annual,,465,,CXUTOBACCOLB0405M
2014,A01,Annual,,408,,CXUTOBACCOLB0405M
2013,A01,Annual,,447,,CXUTOBACCOLB0405M
2012,A01,Annual,,431,,CXUTOBACCOLB0405M
2011,A01,Annual,,465,,CXUTOBACCOLB0405M
2010,A01,Annual,,449,,CXUTOBACCOLB0405M
2009,A01,Annual,,513,,CXUTOBACCOLB0405M
2008,A01,Annual,,437,,CXUTOBACCOLB0405M
2007,A01,Annual,,388,,CXUTOBACCOLB0405M
2006,A01,Annual,,433,,CXUTOBACCOLB0405M
2018,A01,Annual,true,5135,,CXUFOODHOMELB0405M
2017,A01,Annual,,5113,,CXUFOODHOMELB0405M
2016,A01,Annual,,4811,,CXUFOODHOMELB0405M
2015,A01,Annual,,4713,,CXUFOODHOMELB0405M
2014,A01,Annual,,4644,,CXUFOODHOMELB0405M
2013,A01,Annual,,4701,,CXUFOODHOMELB0405M
2012,A01,Annual,,4707,,CXUFOODHOMELB0405M
2011,A01,Annual,,4421,,CXUFOODHOMELB0405M
2010,A01,Annual,,4369,,CXUFOODHOMELB0405M
2009,A01,Annual,,4343,,CXUFOODHOMELB0405M
2008,A01,Annual,,4452,,CXUFOODHOMELB0405M
2007,A01,Annual,,4003,,CXUFOODHOMELB0405M
2006,A01,Annual,,4036,,CXUFOODHOMELB0405M
2018,A01,Annual,true,5138,,CXUHEALTHLB0405M
2017,A01,Annual,,4967,,CXUHEALTHLB0405M
2016,A01,Annual,,4931,,CXUHEALTHLB0405M
2015,A01,Annual,,4669,,CXUHEALTHLB0405M
2014,A01,Annual,,4497,,CXUHEALTHLB0405M
2013,A01,Annual,,3801,,CXUHEALTHLB0405M
2012,A01,Annual,,3687,,CXUHEALTHLB0405M
2011,A01,Annual,,3411,,CXUHEALTHLB0405M
2010,A01,Annual,,3261,,CXUHEALTHLB0405M
2009,A01,Annual,,3173,,CXUHEALTHLB0405M
2008,A01,Annual,,2930,,CXUHEALTHLB0405M
2007,A01,Annual,,2792,,CXUHEALTHLB0405M
2006,A01,Annual,,2757,,CXUHEALTHLB0405M
2018,A01,Annual,true,23566,,CXUHOUSINGLB0405M
2017,A01,Annual,,23205,,CXUHOUSINGLB0405M
2016,A01,Annual,,22034,,CXUHOUSINGLB0405M
2015,A01,Annual,,21160,,CXUHOUSINGLB0405M
2014,A01,Annual,,20781,,CXUHOUSINGLB0405M
2013,A01,Annual,,19001,,CXUHOUSINGLB0405M
2012,A01,Annual,,19076,,CXUHOUSINGLB0405M
2011,A01,Annual,,18782,,CXUHOUSINGLB0405M
2010,A01,Annual,,18900,,CXUHOUSINGLB0405M
2009,A01,Annual,,19004,,CXUHOUSINGLB0405M
2008,A01,Annual,,19562,,CXUHOUSINGLB0405M
2007,A01,Annual,,19195,,CXUHOUSINGLB0405M
2006,A01,Annual,,18377,,CXUHOUSINGLB0405M
2018,A01,Annual,true,11521,,CXUTRANSLB0405M
2017,A01,Annual,,11755,,CXUTRANSLB0405M
2016,A01,Annual,,10992,,CXUTRANSLB0405M
2015,A01,Annual,,11781,,CXUTRANSLB0405M
2014,A01,Annual,,11230,,CXUTRANSLB0405M
2013,A01,Annual,,10782,,CXUTRANSLB0405M
2012,A01,Annual,,10644,,CXUTRANSLB0405M
2011,A01,Annual,,9505,,CXUTRANSLB0405M
2010,A01,Annual,,9255,,CXUTRANSLB0405M
2009,A01,Annual,,9409,,CXUTRANSLB0405M
2008,A01,Annual,,10691,,CXUTRANSLB0405M
2007,A01,Annual,,9943,,CXUTRANSLB0405M
2006,A01,Annual,,10111,,CXUTRANSLB0405M
2018,A01,Annual,true,3268,,CXUFOODAWAYLB0406M
2017,A01,Annual,,3229,,CXUFOODAWAYLB0406M
2016,A01,Annual,,3083,,CXUFOODAWAYLB0406M
2015,A01,Annual,,2792,,CXUFOODAWAYLB0406M
2014,A01,Annual,,2691,,CXUFOODAWAYLB0406M
2013,A01,Annual,,2479,,CXUFOODAWAYLB0406M
2012,A01,Annual,,2788,,CXUFOODAWAYLB0406M
2011,A01,Annual,,2611,,CXUFOODAWAYLB0406M
2010,A01,Annual,,2387,,CXUFOODAWAYLB0406M
2009,A01,Annual,,2626,,CXUFOODAWAYLB0406M
2008,A01,Annual,,2646,,CXUFOODAWAYLB0406M
2007,A01,Annual,,2784,,CXUFOODAWAYLB0406M
2006,A01,Annual,,2613,,CXUFOODAWAYLB0406M
2018,A01,Annual,true,1837,,CXUAPPARELLB0406M
2017,A01,Annual,,1720,,CXUAPPARELLB0406M
2016,A01,Annual,,1661,,CXUAPPARELLB0406M
2015,A01,Annual,,1596,,CXUAPPARELLB0406M
2014,A01,Annual,,1789,,CXUAPPARELLB0406M
2013,A01,Annual,,1563,,CXUAPPARELLB0406M
2012,A01,Annual,,1622,,CXUAPPARELLB0406M
2011,A01,Annual,,1719,,CXUAPPARELLB0406M
2010,A01,Annual,,1571,,CXUAPPARELLB0406M
2009,A01,Annual,,1591,,CXUAPPARELLB0406M
2008,A01,Annual,,1622,,CXUAPPARELLB0406M
2007,A01,Annual,,1888,,CXUAPPARELLB0406M
2006,A01,Annual,,1892,,CXUAPPARELLB0406M
