year,period,periodName,latest,value,footnotes,seriesID
2015,A01,Annual,,230,,CXUTOBACCOLB0402M
2014,A01,Annual,,250,,CXUTOBACCOLB0402M
2013,A01,Annual,,219,,CXUTOBACCOLB0402M
2012,A01,Annual,,262,,CXUTOBACCOLB0402M
2011,A01,Annual,,256,,CXUTOBACCOLB0402M
2010,A01,Annual,,283,,CXUTOBACCOLB0402M
2009,A01,Annual,,330,,CXUTOBACCOLB0402M
2008,A01,Annual,,251,,CXUTOBACCOLB0402M
2007,A01,Annual,,290,,CXUTOBACCOLB0402M
2006,A01,Annual,,286,,CXUTOBACCOLB0402M
2018,A01,Annual,true,2412,,CXUFOODHOMELB0402M
2017,A01,Annual,,2397,,CXUFOODHOMELB0402M
2016,A01,Annual,,2301,,CXUFOODHOMELB0402M
2015,A01,Annual,,2543,,CXUFOODHOMELB0402M
2014,A01,Annual,,2497,,CXUFOODHOMELB0402M
2013,A01,Annual,,2602,,CXUFOODHOMELB0402M
2012,A01,Annual,,2529,,CXUFOODHOMELB0402M
2011,A01,Annual,,2382,,CXUFOODHOMELB0402M
2010,A01,Annual,,2197,,CXUFOODHOMELB0402M
2009,A01,Annual,,2449,,CXUFOODHOMELB0402M
2008,A01,Annual,,2330,,CXUFOODHOMELB0402M
2007,A01,Annual,,2265,,CXUFOODHOMELB0402M
2006,A01,Annual,,1946,,CXUFOODHOMELB0402M
2018,A01,Annual,true,1206,,CXUHEALTHLB0402M
2017,A01,Annual,,1547,,CXUHEALTHLB0402M
2016,A01,Annual,,1162,,CXUHEALTHLB0402M
2015,A01,Annual,,978,,CXUHEALTHLB0402M
2014,A01,Annual,,1103,,CXUHEALTHLB0402M
2013,A01,Annual,,943,,CXUHEALTHLB0402M
2012,A01,Annual,,1024,,CXUHEALTHLB0402M
2011,A01,Annual,,841,,CXUHEALTHLB0402M
2010,A01,Annual,,775,,CXUHEALTHLB0402M
2009,A01,Annual,,676,,CXUHEALTHLB0402M
2008,A01,Annual,,682,,CXUHEALTHLB0402M
2007,A01,Annual,,800,,CXUHEALTHLB0402M
2006,A01,Annual,,706,,CXUHEALTHLB0402M
2018,A01,Annual,true,11410,,CXUHOUSINGLB0402M
2017,A01,Annual,,11255,,CXUHOUSINGLB0402M
2016,A01,Annual,,11391,,CXUHOUSINGLB0402M
2015,A01,Annual,,11328,,CXUHOUSINGLB0402M
2014,A01,Annual,,11459,,CXUHOUSINGLB0402M
2013,A01,Annual,,10379,,CXUHOUSINGLB0402M
2012,A01,Annual,,10957,,CXUHOUSINGLB0402M
2011,A01,Annual,,10282,,CXUHOUSINGLB0402M
2010,A01,Annual,,9553,,CXUHOUSINGLB0402M
2009,A01,Annual,,9735,,CXUHOUSINGLB0402M
2008,A01,Annual,,9975,,CXUHOUSINGLB0402M
2007,A01,Annual,,9598,,CXUHOUSINGLB0402M
2006,A01,Annual,,9355,,CXUHOUSINGLB0402M
2018,A01,Annual,true,5526,,CXUTRANSLB0402M
2017,A01,Annual,,6655,,CXUTRANSLB0402M
2016,A01,Annual,,6042,,CXUTRANSLB0402M
2015,A01,Annual,,6320,,CXUTRANSLB0402M
2014,A01,Annual,,6167,,CXUTRANSLB0402M
2013,A01,Annual,,5672,,CXUTRANSLB0402M
2012,A01,Annual,,6410,,CXUTRANSLB0402M
2011,A01,Annual,,5474,,CXUTRANSLB0402M
2010,A01,Annual,,4692,,CXUTRANSLB0402M
2009,A01,Annual,,5334,,CXUTRANSLB0402M
2008,A01,Annual,,5464,,CXUTRANSLB0402M
2007,A01,Annual,,5708,,CXUTRANSLB0402M
2006,A01,Annual,,5667,,CXUTRANSLB0402M
2018,A01,Annual,true,3450,,CXUFOODAWAYLB0403M
2017,A01,Annual,,3416,,CXUFOODAWAYLB0403M
2016,A01,Annual,,3165,,CXUFOODAWAYLB0403M
2015,A01,Annual,,3097,,CXUFOODAWAYLB0403M
2014,A01,Annual,,2921,,CXUFOODAWAYLB0403M
2013,A01,Annual,,2639,,CXUFOODAWAYLB0403M
2012,A01,Annual,,2833,,CXUFOODAWAYLB0403M
2011,A01,Annual,,2764,,CXUFOODAWAYLB0403M
2010,A01,Annual,,2753,,CXUFOODAWAYLB0403M
2009,A01,Annual,,2691,,CXUFOODAWAYLB0403M
2008,A01,Annual,,2836,,CXUFOODAWAYLB0403M
2007,A01,Annual,,2790,,CXUFOODAWAYLB0403M
2006,A01,Annual,,2918,,CXUFOODAWAYLB0403M
2018,A01,Annual,true,2126,,CXUAPPARELLB0403M
2017,A01,Annual,,2042,,CXUAPPARELLB0403M
2016,A01,Annual,,1942,,CXUAPPARELLB0403M
2015,A01,Annual,,1864,,CXUAPPARELLB0403M
2014,A01,Annual,,1914,,CXUAPPARELLB0403M
2013,A01,Annual,,1832,,CXUAPPARELLB0403M
2012,A01,Annual,,2061,,CXUAPPARELLB0403M
2011,A01,Annual,,1818,,CXUAPPARELLB0403M
2010,A01,Annual,,2087,,CXUAPPARELLB0403M
2009,A01,Annual,,1871,,CXUAPPARELLB0403M
2008,A01,Annual,,1965,,CXUAPPARELLB0403M
2007,A01,Annual,,2106,,CXUAPPARELLB0403M
2006,A01,Annual,,2152,,CXUAPPARELLB0403M
2018,A01,Annual,true,2547,,CXUENTRTAINLB0403M
2017,A01,Annual,,2644,,CXUENTRTAINLB0403M
2016,A01,Annual,,2564,,CXUENTRTAINLB0403M
2015,A01,Annual,,2475,,CXUENTRTAINLB0403M
2014,A01,Annual,,2418,,CXUENTRTAINLB0403M
2013,A01,Annual,,2214,,CXUENTRTAINLB0403M
2012,A01,Annual,,2382,,CXUENTRTAINLB0403M
2011,A01,Annual,,2423,,CXUENTRTAINLB0403M
2010,A01,Annual,,2251,,CXUENTRTAINLB0403M
2009,A01,Annual,,2504,,CXUENTRTAINLB0403M
2008,A01,Annual,,2766,,CXUENTRTAINLB0403M
2007,A01,Annual,,2462,,CXUENTRTAINLB0403M
2006,A01,Annual,,2237,,CXUENTRTAINLB0403M
2018,A01,Annual,true,828,,CXUCASHCONTLB0403M
2017,A01,Annual,,949,,CXUCASHCONTLB0403M
2016,A01,Annual,,1070,,CXUCASHCONTLB0403M
2015,A01,Annual,,874,,CXUCASHCONTLB0403M
2014,A01,Annual,,1066,,CXUCASHCONTLB0403M
2013,A01,Annual,,970,,CXUCASHCONTLB0403M
2012,A01,Annual,,1104,,CXUCASHCONTLB0403M
2011,A01,Annual,,1130,,CXUCASHCONTLB0403M
2010,A01,Annual,,1074,,CXUCASHCONTLB0403M
2009,A01,Annual,,1001,,CXUCASHCONTLB0403M
2008,A01,Annual,,1036,,CXUCASHCONTLB0403M
2007,A01,Annual,,1027,,CXUCASHCONTLB0403M
2006,A01,Annual,,1070,,CXUCASHCONTLB0403M
2018,A01,Annual,true,633,,CXUALCBEVGLB0403M
2017,A01,Annual,,573,,CXUALCBEVGLB0403M
2016,A01,Annual,,539,,CXUALCBEVGLB0403M
2015,A01,Annual,,543,,CXUALCBEVGLB0403M
2014,A01,Annual,,529,,CXUALCBEVGLB0403M
2013,A01,Annual,,489,,CXUALCBEVGLB0403M
2012,A01,Annual,,564,,CXUALCBEVGLB0403M
2011,A01,Annual,,513,,CXUALCBEVGLB0403M
2010,A01,Annual,,473,,CXUALCBEVGLB0403M
2009,A01,Annual,,481,,CXUALCBEVGLB0403M
2008,A01,Annual,,491,,CXUALCBEVGLB0403M
2007,A01,Annual,,514,,CXUALCBEVGLB0403M
2006,A01,Annual,,657,,CXUALCBEVGLB0403M
2018,A01,Annual,true,1095,,CXUEDUCATNLB0403M
2017,A01,Annual,,1234,,CXUEDUCATNLB0403M
2016,A01,Annual,,1197,,CXUEDUCATNLB0403M
2015,A01,Annual,,1123,,CXUEDUCATNLB0403M
2014,A01,Annual,,1087,,CXUEDUCATNLB0403M
2013,A01,Annual,,1019,,CXUEDUCATNLB0403M
2012,A01,Annual,,1021,,CXUEDUCATNLB0403M
2011,A01,Annual,,1049,,CXUEDUCATNLB0403M
2010,A01,Annual,,839,,CXUEDUCATNLB0403M
2009,A01,Annual,,808,,CXUEDUCATNLB0403M
2008,A01,Annual,,759,,CXUEDUCATNLB0403M
2007,A01,Annual,,604,,CXUEDUCATNLB0403M
2006,A01,Annual,,710,,CXUEDUCATNLB0403M
2018,A01,Annual,true,676,,CXUPERSCARELB0403M
2017,A01,Annual,,643,,CXUPERSCARELB0403M
2016,A01,Annual,,603,,CXUPERSCARELB0403M
2015,A01,Annual,,611,,CXUPERSCARELB0403M
2014,A01,Annual,,533,,CXUPERSCARELB0403M
2013,A01,Annual,,538,,CXUPERSCARELB0403M
2012,A01,Annual,,574,,CXUPERSCARELB0403M
2011,A01,Annual,,570,,CXUPERSCARELB0403M
2010,A01,Annual,,517,,CXUPERSCARELB0403M
2009,A01,Annual,,555,,CXUPERSCARELB0403M
2008,A01,Annual,,547,,CXUPERSCARELB0403M
2007,A01,Annual,,512,,CXUPERSCARELB0403M
2006,A01,Annual,,547,,CXUPERSCARELB0403M
2018,A01,Annual,true,337,,CXUTOBACCOLB0403M
2017,A01,Annual,,323,,CXUTOBACCOLB0403M
2016,A01,Annual,,305,,CXUTOBACCOLB0403M
2015,A01,Annual,,364,,CXUTOBACCOLB0403M
2014,A01,Annual,,281,,CXUTOBACCOLB0403M
2013,A01,Annual,,309,,CXUTOBACCOLB0403M
2012,A01,Annual,,351,,CXUTOBACCOLB0403M
2011,A01,Annual,,378,,CXUTOBACCOLB0403M
2010,A01,Annual,,362,,CXUTOBACCOLB0403M
2009,A01,Annual,,368,,CXUTOBACCOLB0403M
2008,A01,Annual,,298,,CXUTOBACCOLB0403M
2007,A01,Annual,,331,,CXUTOBACCOLB0403M
2006,A01,Annual,,318,,CXUTOBACCOLB0403M
2018,A01,Annual,true,3893,,CXUFOODHOMELB0403M
2017,A01,Annual,,3974,,CXUFOODHOMELB0403M
2016,A01,Annual,,3749,,CXUFOODHOMELB0403M
2015,A01,Annual,,3539,,CXUFOODHOMELB0403M
2014,A01,Annual,,3711,,CXUFOODHOMELB0403M
2013,A01,Annual,,3559,,CXUFOODHOMELB0403M
2012,A01,Annual,,3680,,CXUFOODHOMELB0403M
2011,A01,Annual,,3447,,CXUFOODHOMELB0403M
2010,A01,Annual,,3338,,CXUFOODHOMELB0403M
2009,A01,Annual,,3478,,CXUFOODHOMELB0403M
2008,A01,Annual,,3393,,CXUFOODHOMELB0403M
2007,A01,Annual,,3210,,CXUFOODHOMELB0403M
2006,A01,Annual,,3186,,CXUFOODHOMELB0403M
2018,A01,Annual,true,3072,,CXUHEALTHLB0403M
2017,A01,Annual,,3163,,CXUHEALTHLB0403M
2016,A01,Annual,,2887,,CXUHEALTHLB0403M
2015,A01,Annual,,2770,,CXUHEALTHLB0403M
2014,A01,Annual,,2659,,CXUHEALTHLB0403M
2013,A01,Annual,,2189,,CXUHEALTHLB0403M
2012,A01,Annual,,2047,,CXUHEALTHLB0403M
2011,A01,Annual,,2094,,CXUHEALTHLB0403M
2010,A01,Annual,,1800,,CXUHEALTHLB0403M
2009,A01,Annual,,1805,,CXUHEALTHLB0403M
2008,A01,Annual,,1737,,CXUHEALTHLB0403M
2007,A01,Annual,,1740,,CXUHEALTHLB0403M
2006,A01,Annual,,1652,,CXUHEALTHLB0403M
2018,A01,Annual,true,19627,,CXUHOUSINGLB0403M
2017,A01,Annual,,19927,,CXUHOUSINGLB0403M
2016,A01,Annual,,18587,,CXUHOUSINGLB0403M
2015,A01,Annual,,18305,,CXUHOUSINGLB0403M
2014,A01,Annual,,17404,,CXUHOUSINGLB0403M
2013,A01,Annual,,17207,,CXUHOUSINGLB0403M
2012,A01,Annual,,17157,,CXUHOUSINGLB0403M
2011,A01,Annual,,17026,,CXUHOUSINGLB0403M
2010,A01,Annual,,16845,,CXUHOUSINGLB0403M
